reason,count,category,subcategory
not taken seriously ignored ridiculed treated as mentally unbalanced prescribed antidepressants,1,negative,other_issues
not taken seriously ignored ridiculed treated as mentally unbalanced,1,negative,other_issues
abdominal issues sleep disorders depression excessive sweating skin problems aging identity problems,1,negative,sleep_issues
to manage pain,1,negative,pain
to preserve fertility,1,negative,other_issues
affecting heart rate and sleep,1,negative,sleep_issues
severe hypothyroidism caused by a thyroid gland tumor after surgery,1,negative,other_issues
worsening endo pain during menstruation and ovulationfeeling worse after taking pergotime in triple doses,1,negative,pain
stimulating egg production for ivf,1,negative,other_issues
worsening endo pain during menstruation and ovulationfeeling worse after taking pergotime,1,negative,pain
undergoing hormone treatment for  months as the person had endometriosis endo and the doctor put them on the waiting list for ivf but in the meantime they would try themselves,1,negative,other_issues
planning to have surgery for an umbilical hernia,1,negative,other_issues
to conceive a child,1,negative,other_issues
entered menopause,1,negative,other_issues
to manage withdrawal bleeding,1,negative,bleeding
longterm use,1,negative,other_issues
offered due to insomnia anxiety and irritability,1,negative,sleep_issues
to manage endometriosis and menopausal symptoms,1,negative,other_issues
potential hormonal changestesting for low levels of iron vitamins b and d and hypothyroidism,1,negative,other_issues
fatigue brain fog potential hormonal imbalance low levels of iron vitamins b and d hypothyroidism,1,negative,other_issues
potential hormonal changes,1,negative,other_issues
testing for low levels of vitamin b as a possible cause of symptoms,1,negative,other_issues
to not take luteinizing hormone,1,negative,other_issues
tried to quit due to side effects,1,negative,other_issues
to stop the cycle,1,negative,other_issues
bloatingsleep disturbancedepressionjoint pain,1,negative,pain
prescribed and stabilizing,1,negative,other_issues
to induce bleeding,1,negative,bleeding
to find peace and balance during menopause,1,negative,other_issues
preparation for the procedure,1,negative,other_issues
prolonged and irregular periods,1,negative,bleeding
increased inflammationlower metabolismlost muscle massincreased insulin sensitivitychanges in mucous membranes,1,negative,other_issues
menopauseproblems with the thyroid gland,1,negative,other_issues
to get estrogen,1,negative,other_issues
to stop aging,1,negative,other_issues
to be able to movepain,1,negative,pain
difficulty sleeping extreme fatigue mental illness,1,negative,sleep_issues
to induce a normal menstrual bleeding,1,negative,bleeding
manage menopause symptomsavoid risk of blood clots,1,negative,other_issues
staminamental stabilitysleep,1,negative,sleep_issues
dry mucous membranes,1,negative,other_issues
ivf treatment,1,negative,other_issues
waiting for ivf and therefore have to continue to be downregulated,1,negative,other_issues
stabilizing mood,1,negative,other_issues
providing additional supportstabilizing mood,1,negative,other_issues
hormonal issuesirregular periods,1,negative,bleeding
hormonal breast cancer,1,negative,cancer_fear
pmds,1,negative,other_issues
terrible pain and torrential bleeding,1,negative,pain
to prevent ovulation,1,negative,other_issues
doctors advice,1,negative,other_issues
early menopause specialist advice,1,negative,other_issues
depression symptoms,1,negative,depression_issues
thyroid gland issueshigh prolactin levels,1,negative,other_issues
had last period in the middle of feb,1,negative,bleeding
ovulation disorders after a late abortion and great sadness very sick fetus,1,negative,depression_issues
treating fungal infections caused by estrogen,1,negative,other_issues
considering switching from vagidonna due to bleeding or dry mucous membranes,1,negative,bleeding
difficulty getting pregnant,1,negative,other_issues
hypothyroidism,1,negative,other_issues
discontinuation due to lack of demand and profitability,1,negative,other_issues
implied health issuesmecfs,1,negative,other_issues
implied health issuesneed for mammogram,1,negative,other_issues
irregular menstrual cyclespmdd problemsdepression,1,negative,bleeding
pmdd problemsdepression,1,negative,depression_issues
to support overall health and wellness,1,negative,other_issues
to manage menstrual cyclerelated issues,1,negative,bleeding
to avoid pmdssuspected connection with focal epilepsy,1,negative,other_issues
suspected connection with focal epilepsy,1,negative,other_issues
persistent muscle and joint painsuspected to be related to menopause,1,negative,pain
low estrogen levelsfamily members getting blood clots,1,negative,other_issues
family members getting blood clots,1,negative,other_issues
severe pmds before menopause,1,negative,other_issues
problems with sweating and chills,1,negative,other_issues
reappearance of sweating anxiety and depression,1,negative,anxiety_issues
to prevent osteoporosis,1,negative,other_issues
individual is in menopause and has not had a period recently,1,negative,bleeding
family history of blood clots,1,negative,other_issues
couldnt handle hot flashes anymorecontraction every hour all night,1,negative,other_issues
my doctor tells me to take it for a couple of months about three,1,negative,other_issues
unexpected nature of bodily changespotential onset of menopauseneeding to ventilate,1,negative,other_issues
a form of selfcare a path to inner strength and harmony,1,negative,other_issues
urinary tract infection,1,negative,other_issues
need higher doses of the medication,1,negative,other_issues
lack of noticeable difference,1,negative,other_issues
inferred seeking a more natural alternative,1,negative,other_issues
to feel like doing something,1,negative,other_issues
to manage low blood pressure,1,negative,other_issues
alternative to surgeryfeeling that removing the uterus at this time is too radical,1,negative,other_issues
severe pain,1,negative,pain
might not have researched enoughcosts more if on license for a different dosage,1,negative,other_issues
avoiding triggering migraines,1,negative,headache
oils are not in capsulesfind them hard to swallow due to their fat content,1,negative,other_issues
the problem is that if when starting the medicine had low levels of serotonin well then it is the same low dose that is washed around the system so no more serotonin is formed from the medicinemy doctor tells me to buy something like called htp short for hydroxytryptophan in the health food store,1,negative,other_issues
extreme breast pain and discomfort,1,negative,pain
mitigating risk of blood clots due to family history,1,negative,other_issues
discomfort during menopausefear of cancer and blood clots,1,negative,pain
thickened mucosairregular periodspotential premenopause,1,negative,bleeding
premature menopauseyear diagnosis process,1,negative,other_issues
managing severe iron deficiency and longlasting menstruation,1,negative,other_issues
unpleasant anxiety in her,1,negative,anxiety_issues
didnt feel well,1,negative,other_issues
recommended by the authorshould be drunk warm and with lemon,1,negative,other_issues
covid,1,negative,other_issues
immunological problemsdifficulty building up mucosa,1,negative,other_issues
fear of cancer,1,negative,cancer_fear
heavy bleedingsevere menstrual painproblems using a tampon during bleeding,1,negative,pain
looking for a tablet with red clover and her purple onepharmacists advice,1,negative,other_issues
irregular and long periods indicating a lack of ovulation,1,negative,bleeding
personal preferencepast negative side effects,1,negative,other_issues
low test resultslack of specific combination at blodkollen,1,negative,other_issues
addressing parasites or leaky gut,1,negative,other_issues
hrt has a tendency to affect some vitamins and minerals negatively,1,negative,other_issues
persistent problems,1,negative,other_issues
bloated stomach,1,negative,nausea_digestion
boosting lymphatic system unexpectedly got rid of urinary incontinenceresumed use after a break to solve the return of urinary incontinence,1,negative,other_issues
to manage symptoms related to premenopause and menopause specifically to maintain mental balance during hormonal fluctuations,1,negative,other_issues
fuzzydosing method with peas,1,negative,other_issues
swollen bellylonglasting bleedingthick mucosatests said not in menopause yet,1,negative,bleeding
swollen bellylonglasting bleedingthick mucosa,1,negative,bleeding
did not respond well to treatment,1,negative,other_issues
did not respond well to orgametril,1,negative,other_issues
anxiety and depression,1,negative,anxiety_issues
deep depressionanxietybrain fogexhaustion,1,negative,anxiety_issues
deep depression,1,negative,depression_issues
current dose is too low,1,negative,other_issues
to raise the amh value,1,negative,other_issues
being generally negative towards medicationmight need it at some point in life,1,negative,other_issues
high costpotential to solve serious problems,1,negative,other_issues
individuals ovaries no longer respond significantly to synthetic fshindividuals body already produces large doses of fsh,1,negative,other_issues
has been free of bleeding for at least six monthsis infertileage  years old,1,negative,bleeding
continuation of previous treatment due to return of symptoms,1,negative,other_issues
return of symptoms,1,negative,other_issues
selfinitiated decision,1,negative,other_issues
inferred as part of selfcare routine a journey towards strength and balance and a means to reach a weekly goal of  minutes of healthy joy,1,negative,other_issues
management of endometriosis symptoms,1,negative,other_issues
inferred personal and marital issues,1,negative,other_issues
iron levels returned to normal after another test,1,negative,other_issues
severe pain in musclesmuscle attachments,1,negative,pain
trauma,1,negative,other_issues
pains in the uterus sign of knots in the uterus,1,negative,pain
after surgery in feb,1,negative,other_issues
to counteract menopausal symptoms,1,negative,other_issues
lack of information about certain treatments,1,negative,other_issues
too low lad levels,1,negative,other_issues
to induce ovulation,1,negative,other_issues
did not have sleep problems mood swings or sweats which are common symptoms associated with menopause,1,negative,sleep_issues
not specified in the text,1,negative,other_issues
abnormal and prolonged menstrual bleeding,1,negative,bleeding
discovery that the mucous membrane is super thin,1,negative,other_issues
to cope with menopause symptoms,1,negative,other_issues
birth control purposes,1,negative,other_issues
copious sticky dischargeneed to wash the panties twice to get rid of stainsstrong smell from the abdomenstaying away from sex,1,negative,other_issues
all the problems,1,negative,other_issues
prefer nonpharmaceutical solutions,1,negative,other_issues
premenopausal symptoms,1,negative,other_issues
to avoid washing bulky cushions,1,negative,other_issues
mild stroke tia caused by the estrogen patch,1,negative,other_issues
confirming or ruling out menopause,1,negative,other_issues
to investigate and remove endometriosisto prepare for ivf,1,negative,other_issues
side effectsnausealoose stoolsstomach cramps,1,negative,pain
managing symptoms associated with perimenopause utragestan felt it was not needed estrogel,1,negative,other_issues
a necessary choice for survival,1,negative,other_issues
to prevent osteoporosis and cardiovascular diseases,1,negative,other_issues
to find out if the person has dry eyes due to quantity or quality issues of tear fluid,1,negative,other_issues
the medicine i take knocks out the functions of the birth control pill,1,negative,other_issues
doctors recommendation due to concerns about side effects and the individuals young age and overall health,1,negative,other_issues
due to herding,1,negative,other_issues
facilitates the removal of toxins,1,negative,other_issues
persistent feeling of sicknesssome symptoms have not completely subsided,1,negative,other_issues
prescribed by a doctor after two weeks of using white estrogen tablets,1,negative,other_issues
progesterone deficiencytirednesspalpitationsshorter menstrual cycles,1,negative,bleeding
struggle with fertilitylow amh,1,negative,other_issues
severe mood changesdepressiondecrease in estrogen levels,1,negative,depression_issues
irregular periods due to iud,1,negative,bleeding
to potentially stop prolonged bleeding,1,negative,bleeding
struggle without hormones for many years,1,negative,other_issues
white dots on the throat that dont go away by themselves,1,negative,other_issues
does not believe it is the right treatment,1,negative,other_issues
recommendation by a pharmacist,1,negative,other_issues
to manage changes in body associated with perimenopause,1,negative,other_issues
to test whether it could get rid of or get milder menopause symptoms,1,negative,other_issues
recommendations concerns about rancidity of salmon oil,1,negative,other_issues
to stop irregular bleeding,1,negative,bleeding
risk of clot formation,1,negative,other_issues
years without perioddoctors suggestion,1,negative,bleeding
to maintain a ferritin level below,1,negative,other_issues
