reason,count,category
inferred as part of selfcare routine a journey towards strength and balance and a means to reach a weekly goal of  minutes of healthy joy,1,negative
management of endometriosis symptoms,1,negative
inferred personal and marital issues,1,negative
iron levels returned to normal after another test,1,negative
severe pain in musclesmuscle attachments,1,negative
trauma,1,negative
pains in the uterus sign of knots in the uterus,1,negative
after surgery in feb,1,negative
to counteract menopausal symptoms,1,negative
lack of information about certain treatments,1,negative
too low lad levels,1,negative
to induce ovulation,1,negative
did not have sleep problems mood swings or sweats which are common symptoms associated with menopause,1,negative
not specified in the text,1,negative
abnormal and prolonged menstrual bleeding,1,negative
discovery that the mucous membrane is super thin,1,negative
to cope with menopause symptoms,1,negative
birth control purposes,1,negative
copious sticky dischargeneed to wash the panties twice to get rid of stainsstrong smell from the abdomenstaying away from sex,1,negative
all the problems,1,negative
prefer nonpharmaceutical solutions,1,negative
premenopausal symptoms,1,negative
to avoid washing bulky cushions,1,negative
mild stroke tia caused by the estrogen patch,1,negative
confirming or ruling out menopause,1,negative
to investigate and remove endometriosisto prepare for ivf,1,negative
side effectsnausealoose stoolsstomach cramps,1,negative
managing symptoms associated with perimenopause utragestan felt it was not needed estrogel,1,negative
a necessary choice for survival,1,negative
to prevent osteoporosis and cardiovascular diseases,1,negative
to find out if the person has dry eyes due to quantity or quality issues of tear fluid,1,negative
the medicine i take knocks out the functions of the birth control pill,1,negative
doctors recommendation due to concerns about side effects and the individuals young age and overall health,1,negative
due to herding,1,negative
facilitates the removal of toxins,1,negative
persistent feeling of sicknesssome symptoms have not completely subsided,1,negative
prescribed by a doctor after two weeks of using white estrogen tablets,1,negative
progesterone deficiencytirednesspalpitationsshorter menstrual cycles,1,negative
struggle with fertilitylow amh,1,negative
severe mood changesdepressiondecrease in estrogen levels,1,negative
irregular periods due to iud,1,negative
to potentially stop prolonged bleeding,1,negative
struggle without hormones for many years,1,negative
white dots on the throat that dont go away by themselves,1,negative
does not believe it is the right treatment,1,negative
recommendation by a pharmacist,1,negative
to manage changes in body associated with perimenopause,1,negative
to test whether it could get rid of or get milder menopause symptoms,1,negative
recommendations concerns about rancidity of salmon oil,1,negative
to stop irregular bleeding,1,negative
risk of clot formation,1,negative
years without perioddoctors suggestion,1,negative
to maintain a ferritin level below,1,negative
